Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
24,48,46,0,13,108.7,3,42,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,159.4,47,10,1,3,4,3,4,4,6,-1,-1,-1,,
43,23,2,47,13,165.7,41,49,0,3,3,2,3,6,-1,-1,-1,-1,,
5,9,9,-1,-1,100.6,40,48,1,2,-2,2,9,6,-1,-1,-1,-1,,
25,40,48,37,23,100.35,24,19,0,2,4,4,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,165.45,47,41,1,3,4,4,2,6,-1,-1,-1,-1,,
43,22,18,25,23,181.25,33,46,0,3,4,3,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,123.45,44,14,1,4,4,2,4,6,-1,-1,-1,-1,,
19,24,8,10,30,182,28,44,0,3,4,3,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,122.15,11,51,1,4,4,2,2,6,-1,-1,-1,-1,,
14,11,0,26,17,164.1,3,37,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,138.15,45,29,1,4,4,4,4,6,-1,-1,-1,-1,,
30,48,31,47,42,162,27,25,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,139.85,4,21,1,4,4,4,4,6,-1,-1,-1,-1,,
48,37,13,50,10,134.95,44,5,0,2,2,-2,2,-2,4,6,-1,-1,,
4,7,10,-1,-1,478.25,40,30,1,3,4,3,4,3,4,6,-1,-1,,
20,51,35,38,17,465.75,48,40,0,2,2,-2,2,-2,2,-2,6,-1,,
4,7,10,-1,-1,146.25,27,39,1,3,2,3,2,3,4,3,7,-1,,
33,31,47,46,13,514.25,45,40,0,2,3,2,9,-2,6,-1,-1,-1,,
5,11,11,-1,-1,97.25,50,44,1,2,-2,4,2,9,6,-1,-1,-1,,
32,4,25,40,2,419,50,39,0,2,3,3,4,3,7,-1,-1,-1,,
5,7,9,-1,-1,192,10,9,1,2,-2,2,4,2,6,-1,-1,-1,,
17,43,10,1,24,356,48,4,0,2,4,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,253.1,11,50,1,3,4,2,4,6,-1,-1,-1,-1,,
19,1,39,36,3,360.4,10,50,0,2,3,3,3,3,6,-1,-1,-1,,
5,7,9,-1,-1,245.4,47,41,1,2,-2,2,2,2,6,-1,-1,-1,,
9,28,41,11,26,240.8,43,33,0,2,2,-2,2,-2,3,6,-1,-1,,
4,7,10,-1,-1,362.5,25,30,1,3,4,3,4,3,2,6,-1,-1,,
4,13,24,6,11,320.9,44,19,0,2,4,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,280.8,49,18,1,3,4,2,4,6,-1,-1,-1,-1,,
21,2,1,31,30,313,7,5,0,2,3,3,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,287.3,23,39,1,3,2,2,2,6,-1,-1,-1,-1,,
12,35,29,44,47,350.4,24,18,0,2,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,248,5,7,1,3,4,4,4,3,6,-1,-1,-1,,
44,4,9,29,13,359.9,34,30,0,2,4,3,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,237.5,47,11,1,3,4,2,2,6,-1,-1,-1,-1,,
21,3,51,1,30,255.5,47,22,0,2,2,-2,4,3,7,-1,-1,-1,,
4,7,9,-1,-1,340.5,49,31,1,3,4,3,4,2,6,-1,-1,-1,,
38,29,12,0,35,236.7,27,48,0,2,3,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,358.5,40,8,1,3,2,4,4,6,-1,-1,-1,-1,,
34,39,44,38,7,247.8,35,25,0,2,4,3,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,346,40,16,1,3,4,2,4,6,-1,-1,-1,-1,,
3,37,11,5,44,318.8,25,18,0,2,4,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,271.5,16,20,1,3,4,4,3,4,6,-1,-1,-1,,
44,29,14,9,7,266.5,48,40,0,2,3,3,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,323.3,42,16,1,3,2,2,4,6,-1,-1,-1,-1,,
31,18,49,47,40,95.7,20,30,0,2,2,-2,4,3,7,-1,-1,-1,,
4,7,9,-1,-1,199.3,48,28,1,3,4,3,4,2,6,-1,-1,-1,,
19,49,15,32,7,206.8,14,46,0,3,3,2,-2,4,4,7,-1,-1,,
5,8,10,-1,-1,87.7,43,40,1,2,-2,4,3,4,4,6,-1,-1,,
6,41,25,13,45,190.5,37,30,0,2,2,-2,4,3,6,-1,-1,-1,,
4,7,9,-1,-1,101.6,36,47,1,3,4,3,4,2,6,-1,-1,-1,,
17,7,39,27,20,201.7,44,13,0,3,3,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,89.2,45,19,1,4,2,4,4,6,-1,-1,-1,-1,,
31,26,32,29,39,200.2,22,11,0,2,2,-2,4,2,-2,6,-1,-1,,
4,7,9,-1,-1,90.5,34,38,1,3,4,3,4,4,3,7,-1,-1,,
46,29,8,28,13,78.5,12,51,0,2,4,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,211.7,41,34,1,3,4,4,3,4,6,-1,-1,-1,,
18,7,25,30,36,204.4,47,16,0,3,3,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,82.6,2,24,1,4,2,2,4,6,-1,-1,-1,-1,,
28,46,40,35,9,83.8,43,44,0,2,2,3,3,4,6,-1,-1,-1,,
4,8,10,-1,-1,202.1,29,45,1,3,4,2,2,4,6,-1,-1,-1,,
21,4,31,20,14,254.8,34,36,0,2,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,216.01,9,50,1,3,4,4,4,6,-1,-1,-1,-1,,
23,39,42,25,35,98.3,15,3,0,2,2,3,3,9,6,-1,-1,-1,,
4,8,10,-1,-1,139,40,33,1,3,4,2,2,9,6,-1,-1,-1,,
24,6,36,35,10,417.5,22,18,0,2,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,179.9,40,23,1,3,4,4,4,6,-1,-1,-1,-1,,
16,20,7,2,0,185.4,35,34,0,2,3,2,9,6,-1,-1,-1,-1,,
5,10,10,-1,-1,411.5,21,17,1,2,-2,2,9,6,-1,-1,-1,-1,,
18,31,28,35,6,249.8,2,11,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,220.51,36,13,1,4,4,4,4,6,-1,-1,-1,-1,,
14,12,35,24,2,92.89,50,39,0,2,4,3,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,196,29,41,1,3,4,2,2,6,-1,-1,-1,-1,,
2,4,8,23,37,103.8,16,38,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,174.3,1,35,1,4,4,4,4,3,7,-1,-1,-1,,
37,40,27,50,17,441.91,45,35,0,2,2,-2,6,-1,-1,-1,-1,-1,,
4,8,8,-1,-1,26.3,44,24,1,3,2,9,6,-1,-1,-1,-1,-1,,
20,10,39,35,44,94.39,15,8,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,192.6,19,12,1,3,4,4,4,6,-1,-1,-1,-1,,
12,17,51,8,49,401,15,6,0,3,3,3,3,3,6,-1,-1,-1,,
5,7,9,-1,-1,466.71,30,20,1,2,-2,2,2,2,6,-1,-1,-1,,
33,41,34,32,47,71.89,21,28,0,2,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,214.1,30,50,1,3,4,4,4,3,6,-1,-1,-1,,
25,9,48,24,36,563.5,30,29,0,3,2,2,-2,4,4,6,-1,-1,,
6,9,11,-1,-1,303.71,13,15,1,2,3,4,3,4,4,6,-1,-1,,
21,3,50,8,31,104.2,40,16,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,173.3,18,5,1,4,4,4,4,6,-1,-1,-1,-1,,
33,47,20,45,49,67.89,27,17,0,2,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,217.6,3,2,1,3,4,4,4,6,-1,-1,-1,-1,,
13,20,25,41,37,221.2,31,18,0,3,3,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,63.89,42,15,1,4,2,4,3,4,6,-1,-1,-1,,
47,41,34,18,4,94,1,26,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,182.8,27,20,1,4,4,4,4,6,-1,-1,-1,-1,,
32,41,50,17,48,184.6,22,18,0,2,2,-2,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,92,37,4,1,3,4,3,4,4,6,-1,-1,-1,,
29,26,33,11,32,265.71,48,8,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,601,3,15,1,3,4,4,4,6,-1,-1,-1,-1,,
17,43,48,46,2,275.71,27,47,0,2,3,3,3,3,7,-1,-1,-1,,
5,7,9,-1,-1,589.5,44,50,1,2,-2,2,2,2,6,-1,-1,-1,,
40,39,12,19,1,55.89,43,48,0,9,6,-1,-1,-1,-1,-1,-1,-1,,
4,4,4,-1,-1,228.3,20,50,1,3,6,-1,-1,-1,-1,-1,-1,-1,,
19,3,40,4,8,105.28,38,43,0,2,2,3,9,-2,6,-1,-1,-1,,
4,8,11,-1,-1,177.91,41,9,1,3,4,2,2,3,6,-1,-1,-1,,
11,44,41,20,47,75.8,48,23,0,3,2,3,3,9,7,-1,-1,-1,,
4,8,10,-1,-1,199.6,46,3,1,4,4,2,2,2,6,-1,-1,-1,,
20,4,14,7,40,109.71,28,39,0,2,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,752.3,37,35,1,3,4,4,4,6,-1,-1,-1,-1,,
9,44,1,32,13,757.8,38,43,0,3,4,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,103.71,8,36,1,4,4,2,4,6,-1,-1,-1,-1,,
23,11,21,9,4,81.01,46,45,0,2,2,9,6,-1,-1,-1,-1,-1,,
8,8,8,-1,-1,778.6,47,48,1,2,2,-2,6,-1,-1,-1,-1,-1,,
0,14,25,8,33,697.59,44,30,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,161.52,1,51,1,4,4,4,4,6,-1,-1,-1,-1,,
26,23,14,40,16,163.32,42,6,0,2,4,2,-2,4,7,-1,-1,-1,,
4,6,9,-1,-1,695.59,22,27,1,3,4,4,3,4,6,-1,-1,-1,,
20,47,21,1,8,713.09,18,40,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,145.32,34,10,1,4,4,4,4,6,-1,-1,-1,-1,,
4,20,12,14,39,702.59,26,34,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,154.12,47,2,1,4,4,4,4,6,-1,-1,-1,-1,,
32,38,10,4,26,704.59,46,24,0,3,3,2,-2,4,7,-1,-1,-1,,
4,6,9,-1,-1,151.92,39,0,1,4,2,4,3,4,6,-1,-1,-1,,
4,17,36,14,37,713.39,30,47,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,141.42,31,20,1,4,4,4,4,6,-1,-1,-1,-1,,
39,43,17,5,25,139.42,29,31,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,715.19,23,20,1,3,4,4,4,6,-1,-1,-1,-1,,
51,48,14,10,46,719.69,32,17,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,133.92,42,5,1,4,4,4,4,6,-1,-1,-1,-1,,
39,23,47,3,13,139.52,15,18,0,2,4,4,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,713.69,44,14,1,3,4,4,2,6,-1,-1,-1,-1,,
14,34,26,18,10,727.99,31,43,0,3,3,4,4,4,6,-1,-1,-1,,
5,7,9,-1,-1,123.02,23,51,1,2,-2,4,4,4,6,-1,-1,-1,,
15,23,31,13,11,715.74,47,48,0,3,2,2,3,3,6,-1,-1,-1,,
6,10,12,-1,-1,134.27,19,51,1,2,3,4,2,9,6,-1,-1,-1,,
20,1,10,40,47,268.04,28,12,0,3,4,3,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,581.47,32,41,1,4,4,2,4,3,6,-1,-1,-1,,
7,18,46,0,21,236.04,44,25,0,2,3,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,611.77,4,10,1,3,2,4,3,4,6,-1,-1,-1,,
49,7,30,23,47,567.77,15,13,0,3,4,3,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,279.04,22,9,1,4,4,2,4,3,6,-1,-1,-1,,
43,3,12,37,20,286.54,32,33,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,559.27,26,34,1,3,4,4,4,6,-1,-1,-1,-1,,
47,1,40,38,13,342.84,44,46,0,2,2,-2,2,-2,2,-2,6,-1,,
4,7,10,-1,-1,500.77,23,45,1,3,2,3,4,3,4,3,7,-1,,
18,22,1,40,46,229.77,43,19,0,3,3,2,-2,2,-2,4,6,-1,,
5,8,11,-1,-1,613.14,48,17,1,2,-2,4,3,4,3,4,6,-1,,
22,13,21,24,42,559.14,51,39,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,283.27,36,34,1,3,4,4,4,6,-1,-1,-1,-1,,
28,44,6,-1,-1,272.27,-1,-1,0,2,2,8,-1,-1,-1,-1,-1,-1,,
4,-1,-1,-1,-1,569.14,21,16,1,3,4,2,6,-1,-1,-1,-1,-1,,
30,12,44,51,26,252.27,38,22,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,588.14,24,17,1,4,4,4,4,6,-1,-1,-1,-1,,
21,28,22,17,29,589.94,2,0,0,2,3,3,3,2,-2,6,-1,-1,,
