Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9
42,2,24,49,1,478.85,50,22,1,3,4,3,4,3,4,6,-1,-1
4,7,10,-1,-1,665.1,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
15,40,42,13,36,554.35,5,25,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,589.1,34,26,1,4,4,4,4,6,-1,-1,-1,-1
43,31,51,46,8,560.15,30,18,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,582.9,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
11,0,27,45,1,462.7,37,48,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,427.5,39,42,1,3,4,4,4,6,-1,-1,-1,-1
29,50,15,37,24,560.65,22,21,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,580.4,49,3,0,2,4,4,4,6,-1,-1,-1,-1
4,41,2,24,12,548.65,-1,-1,0,2,2,3,3,3,7,-1,-1,-1
4,8,10,-1,-1,591.9,40,28,1,3,4,2,2,2,6,-1,-1,-1
4,43,2,39,37,398.7,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
4,7,9,-1,-1,494.5,41,21,1,3,4,3,4,2,6,-1,-1,-1
10,22,25,20,6,244.1,26,43,1,3,2,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,416,35,21,0,2,3,3,3,6,-1,-1,-1,-1
46,18,45,8,3,328.2,43,30,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,563.5,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
22,51,2,21,3,291.7,23,35,1,3,4,3,4,2,6,-1,-1,-1
4,7,9,-1,-1,598.5,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
26,39,48,33,14,105.1,29,32,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,393.5,11,43,1,3,4,4,4,6,-1,-1,-1,-1
41,47,35,8,20,278.3,11,34,0,2,2,-2,4,2,-2,6,-1,-1
4,7,9,-1,-1,424,-1,-1,1,3,4,3,4,2,3,7,-1,-1
14,35,19,25,39,383.2,16,50,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,505.5,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
1,35,49,30,20,158.8,-1,-1,0,2,9,7,-1,-1,-1,-1,-1,-1
5,5,5,-1,-1,496.5,5,6,1,2,-2,6,-1,-1,-1,-1,-1,-1
8,7,19,30,45,202,16,37,0,3,2,3,9,-2,6,-1,-1,-1
4,8,11,-1,-1,652.8,3,23,1,4,2,2,2,3,6,-1,-1,-1
21,23,5,40,49,285.5,-1,-1,1,3,4,4,4,3,7,-1,-1,-1
4,6,8,-1,-1,567.8,19,48,0,2,4,4,2,-2,6,-1,-1,-1
51,28,43,12,34,455.5,31,3,1,3,4,2,2,9,6,-1,-1,-1
4,8,10,-1,-1,591.6,10,49,0,2,2,3,3,3,6,-1,-1,-1
9,1,49,43,48,427.5,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
4,7,10,-1,-1,1024.6,51,17,1,3,4,3,4,3,4,6,-1,-1
37,29,24,44,45,440,21,18,1,2,-2,2,2,9,6,-1,-1,-1
5,7,9,-1,-1,1064.6,41,36,0,2,3,3,3,3,6,-1,-1,-1
48,45,32,29,37,593.1,47,46,1,2,-2,2,2,9,6,-1,-1,-1
5,7,9,-1,-1,436,35,42,0,2,3,3,3,9,6,-1,-1,-1
28,26,51,38,32,404,39,15,0,2,4,3,4,6,-1,-1,-1,-1
4,6,8,-1,-1,278.7,4,45,1,3,4,2,4,6,-1,-1,-1,-1
22,4,24,25,21,427.5,15,12,1,2,-2,4,3,4,3,2,6,-1
5,8,11,-1,-1,254.7,48,20,0,2,3,2,-2,2,-2,3,6,-1
4,48,12,38,39,72,49,37,1,9,6,-1,-1,-1,-1,-1,-1,-1
4,4,4,-1,-1,410,-1,-1,0,9,7,-1,-1,-1,-1,-1,-1,-1
41,2,12,14,4,124.3,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,419.5,6,16,1,4,4,4,4,6,-1,-1,-1,-1
28,26,51,20,50,122.7,-1,-1,1,3,4,4,4,3,7,-1,-1,-1
4,6,8,-1,-1,418.6,34,25,0,2,4,4,2,-2,6,-1,-1,-1
21,45,35,10,14,86.7,41,33,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,453.6,-1,-1,0,2,4,3,4,7,-1,-1,-1,-1
16,44,46,5,51,404,19,39,0,2,3,3,4,6,-1,-1,-1,-1
4,6,8,-1,-1,90,25,35,1,3,2,2,4,6,-1,-1,-1,-1
13,17,23,30,5,271,-1,-1,0,3,3,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,697.25,4,10,1,4,2,4,4,6,-1,-1,-1,-1
27,41,19,23,51,120,-1,-1,0,3,3,3,4,7,-1,-1,-1,-1
4,6,8,-1,-1,401.6,42,17,1,4,2,2,4,6,-1,-1,-1,-1
26,11,37,51,4,411.5,32,23,1,4,2,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,183.2,12,25,0,3,3,4,4,6,-1,-1,-1,-1
17,15,10,9,30,434.5,51,25,1,3,2,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,158.7,-1,-1,0,2,3,4,4,7,-1,-1,-1,-1
33,10,21,29,51,250.5,-1,-1,1,3,4,2,4,4,3,7,-1,-1
4,8,10,-1,-1,716.35,20,28,0,2,2,3,4,2,-2,6,-1,-1
21,22,48,29,9,432.7,-1,-1,0,2,3,7,-1,-1,-1,-1,-1,-1
5,5,5,-1,-1,60,25,49,1,9,-2,6,-1,-1,-1,-1,-1,-1
10,5,19,2,43,462,49,20,1,4,2,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,130.7,50,11,0,3,3,4,4,6,-1,-1,-1,-1
9,8,4,3,44,154.5,28,42,0,2,4,4,4,6,-1,-1,-1,-1
