Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
33,19,10,35,28,30.6,6,2,1,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,81.4,15,50,0,2,4,4,4,6,-1,-1,-1,-1,,
11,22,45,7,48,12.2,-1,-1,1,3,4,4,2,3,7,-1,-1,-1,,
4,6,8,-1,-1,10.7,6,5,0,2,4,4,2,-2,6,-1,-1,-1,,
22,26,28,50,24,4.45,39,34,1,4,4,3,4,2,9,6,-1,-1,,
4,7,11,-1,-1,50.1,-1,-1,0,3,2,-2,2,3,3,7,-1,-1,,
9,46,25,22,19,9.6,-1,-1,0,3,4,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,22.2,7,21,1,4,4,2,4,6,-1,-1,-1,-1,,
7,42,32,41,8,8.2,9,22,0,3,4,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,14.35,37,29,1,4,4,4,3,4,6,-1,-1,-1,,
16,43,42,50,13,56.85,12,36,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,49.4,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
47,49,18,25,10,57.05,16,26,1,4,4,4,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,49.15,-1,-1,0,3,4,4,3,7,-1,-1,-1,-1,,
13,22,3,8,25,9.85,-1,-1,0,3,4,3,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,12.6,12,41,1,4,4,2,4,6,-1,-1,-1,-1,,
17,36,37,24,3,32.75,31,14,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,11.6,44,8,0,3,4,4,4,6,-1,-1,-1,-1,,
34,31,44,39,7,7,-1,-1,0,3,2,-2,4,2,3,7,-1,-1,,
4,7,9,-1,-1,47.1,32,41,1,4,4,3,4,4,2,6,-1,-1,,
4,34,5,2,33,43.6,24,46,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,34.55,20,15,1,4,4,4,4,6,-1,-1,-1,-1,,
4,36,11,35,8,33.35,-1,-1,0,3,2,-2,2,-2,4,7,-1,-1,,
4,7,10,-1,-1,78.55,32,28,1,4,2,3,4,3,4,6,-1,-1,,
35,11,28,32,29,58.45,-1,-1,0,2,3,3,4,4,7,-1,-1,-1,,
5,7,9,-1,-1,47.65,42,43,1,2,-2,2,4,4,6,-1,-1,-1,,
9,35,10,5,6,29.75,27,37,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,14.55,16,12,1,3,4,4,4,6,-1,-1,-1,-1,,
34,41,39,15,37,8.35,9,11,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,14,4,7,1,3,4,4,4,6,-1,-1,-1,-1,,
49,17,14,10,41,9.25,24,8,1,4,4,4,4,6,-1,-1,-1,-1,,
5,7,9,-1,-1,13,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
35,45,38,46,28,2.5,22,15,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,51.25,10,51,0,3,4,4,4,6,-1,-1,-1,-1,,
29,8,1,50,9,31.35,-1,-1,0,2,3,4,4,3,7,-1,-1,-1,,
5,7,9,-1,-1,12.8,51,48,1,2,-2,4,4,2,6,-1,-1,-1,,
40,33,18,9,15,47.7,10,45,0,3,4,2,-2,4,6,-1,-1,-1,,
4,6,9,-1,-1,30.05,11,0,1,4,4,4,3,4,6,-1,-1,-1,,
41,33,2,51,31,30.85,-1,-1,1,3,4,3,4,4,3,7,-1,-1,,
4,7,9,-1,-1,80.6,34,29,0,2,2,-2,4,2,-2,6,-1,-1,,
36,37,47,10,19,24.35,44,50,0,2,3,6,-1,-1,-1,-1,-1,-1,,
5,5,5,-1,-1,19.3,49,42,1,9,-2,6,-1,-1,-1,-1,-1,-1,,
2,28,22,10,7,50,45,38,1,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,56.3,49,34,0,2,4,4,4,6,-1,-1,-1,-1,,
23,4,9,33,46,51.35,49,6,1,4,4,4,4,3,6,-1,-1,-1,,
4,6,8,-1,-1,55.7,28,12,0,3,4,4,2,-2,6,-1,-1,-1,,
34,38,22,13,43,12.25,35,3,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,9.75,-1,-1,1,4,4,4,4,3,7,-1,-1,-1,,
32,9,51,35,26,44.55,-1,-1,0,2,3,4,4,3,7,-1,-1,-1,,
