Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
4,7,10,-1,-1,20,31,37,1,3,4,3,2,3,2,6,-1,-1,,
10,17,5,19,35,40,18,11,1,4,4,2,4,2,6,-1,-1,-1,,
4,8,10,-1,-1,44,-1,-1,0,3,2,3,4,3,7,-1,-1,-1,,
4,14,13,40,45,45,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,38.5,34,19,1,4,4,4,4,6,-1,-1,-1,-1,,
7,20,19,40,10,44.5,26,14,1,4,4,4,3,2,6,-1,-1,-1,,
4,6,9,-1,-1,38.95,-1,-1,0,3,4,2,-2,3,7,-1,-1,-1,,
35,17,29,47,43,29.4,9,31,1,4,4,4,3,4,3,6,-1,-1,,
4,6,9,-1,-1,9.75,26,6,0,3,4,2,-2,2,-2,6,-1,-1,,
25,5,1,46,14,52.2,13,33,1,4,2,2,9,6,-1,-1,-1,-1,,
4,6,8,-1,-1,16.45,-1,-1,0,3,3,3,9,7,-1,-1,-1,-1,,
34,7,45,12,18,48.05,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,34.85,11,9,1,4,4,4,4,6,-1,-1,-1,-1,,
26,5,8,25,10,33.1,15,12,1,2,-2,4,4,4,6,-1,-1,-1,,
5,7,9,-1,-1,5.75,17,45,0,3,3,4,4,4,6,-1,-1,-1,,
7,45,33,11,20,27.45,15,21,0,3,4,4,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,37.05,22,14,1,4,4,4,2,6,-1,-1,-1,-1,,
9,34,48,10,23,34.45,37,39,0,2,3,6,-1,-1,-1,-1,-1,-1,,
4,6,6,-1,-1,4.25,44,40,1,3,9,6,-1,-1,-1,-1,-1,-1,,
0,9,7,17,19,47,20,23,0,3,3,3,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,35.7,42,2,1,4,2,2,2,6,-1,-1,-1,-1,,
18,17,16,25,36,26.35,12,50,1,3,2,2,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,37.85,47,27,0,2,3,3,3,6,-1,-1,-1,-1,,
32,46,24,38,42,49.2,26,19,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,33.1,23,41,0,3,4,4,4,6,-1,-1,-1,-1,,
50,17,29,20,51,48.7,19,46,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,33.55,45,2,1,4,4,4,4,6,-1,-1,-1,-1,,
31,9,38,0,18,22.85,50,45,1,2,-2,2,2,2,6,-1,-1,-1,,
5,7,9,-1,-1,21,11,49,0,3,3,3,3,3,6,-1,-1,-1,,
44,8,34,21,13,48.15,33,10,1,4,4,3,4,2,2,6,-1,-1,,
4,7,11,-1,-1,33.95,-1,-1,0,3,2,-2,2,3,3,7,-1,-1,,
41,5,42,49,14,60.15,9,10,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,21.45,8,38,1,4,4,4,4,6,-1,-1,-1,-1,,
23,31,22,48,11,14.05,18,25,1,4,4,4,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,49.3,27,29,0,3,4,4,3,6,-1,-1,-1,-1,,
1,18,29,15,44,25.05,9,17,1,3,4,2,2,2,6,-1,-1,-1,,
4,8,10,-1,-1,31.8,28,33,0,2,2,3,3,3,6,-1,-1,-1,,
29,26,30,48,7,12.7,-1,-1,0,3,4,4,3,7,-1,-1,-1,-1,,
