Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
14,45,48,2,34,8.65,37,13,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,7.95,3,40,1,4,4,4,4,6,-1,-1,-1,-1,,
7,35,29,42,16,53.25,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,49.2,20,21,1,3,4,3,4,4,6,-1,-1,-1,,
27,9,51,34,1,38.9,41,25,1,2,-2,2,3,2,2,6,-1,-1,,
5,8,10,-1,-1,51.3,31,35,0,2,3,2,-2,3,3,6,-1,-1,,
24,47,39,30,7,31.8,-1,-1,0,2,4,2,-2,2,9,7,-1,-1,,
4,6,9,-1,-1,61.1,23,27,1,3,4,4,3,2,9,6,-1,-1,,
48,4,18,38,21,58.9,43,41,1,2,-2,4,3,4,3,4,3,6,,
5,8,11,-1,-1,37.45,45,29,0,3,3,2,-2,2,-2,2,-2,6,,
9,6,21,37,7,30.9,24,28,0,3,3,4,4,2,-2,6,-1,-1,,
5,7,9,-1,-1,58.8,42,50,1,2,-2,4,4,4,3,6,-1,-1,,
6,14,24,46,31,51.55,39,25,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,40.5,37,29,0,3,4,4,4,6,-1,-1,-1,-1,,
39,11,30,9,0,9.5,-1,-1,0,3,3,3,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,6.95,36,2,1,4,2,2,2,6,-1,-1,-1,-1,,
3,11,1,47,37,50.5,26,27,1,3,4,2,4,4,6,-1,-1,-1,,
4,8,10,-1,-1,38.5,-1,-1,0,2,2,3,4,4,7,-1,-1,-1,,
17,30,8,47,7,72.65,22,40,1,2,-2,4,4,4,6,-1,-1,-1,,
6,8,10,-1,-1,23.2,9,50,0,3,3,4,4,4,6,-1,-1,-1,,
45,39,11,3,15,58.25,26,38,0,2,4,3,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,30.25,32,40,1,3,4,2,2,6,-1,-1,-1,-1,,
20,34,5,14,17,6.95,12,37,1,4,4,2,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,9.25,48,23,0,3,4,3,4,6,-1,-1,-1,-1,,
48,2,31,16,23,28.75,50,5,1,3,4,4,3,2,6,-1,-1,-1,,
4,6,9,-1,-1,60.5,-1,-1,0,2,4,2,-2,3,7,-1,-1,-1,,
1,15,22,26,21,66.25,-1,-1,1,3,4,3,4,4,3,7,-1,-1,,
4,7,9,-1,-1,21.75,14,17,0,2,2,-2,4,2,-2,6,-1,-1,,
17,18,37,23,10,69.9,31,28,0,2,2,-2,2,-2,4,6,-1,-1,,
4,7,10,-1,-1,25.75,34,24,1,3,4,3,4,3,4,6,-1,-1,,
21,9,17,34,27,4.45,40,44,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,11.55,37,50,0,3,4,4,4,6,-1,-1,-1,-1,,
34,33,11,47,13,4.4,31,16,1,4,4,4,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,11.5,28,45,0,3,4,4,3,6,-1,-1,-1,-1,,
22,19,18,15,31,4.35,38,17,0,3,4,9,-2,6,-1,-1,-1,-1,,
4,6,9,-1,-1,11.45,20,48,1,4,4,2,3,6,-1,-1,-1,-1,,
38,16,45,11,5,39.75,41,36,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,48.5,29,43,1,3,4,4,4,6,-1,-1,-1,-1,,
41,22,8,15,43,9.5,3,7,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,5.55,18,16,1,4,4,4,4,3,6,-1,-1,-1,,
25,49,2,3,38,60,21,24,0,2,3,3,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,30.6,9,8,1,3,2,2,2,6,-1,-1,-1,-1,,
36,42,13,49,35,32.65,3,1,1,2,-2,6,-1,-1,-1,-1,-1,-1,,
5,5,5,-1,-1,15.25,40,41,0,2,9,6,-1,-1,-1,-1,-1,-1,,
36,48,5,35,29,51.35,30,31,0,2,4,3,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,51.4,7,50,1,3,4,2,2,3,6,-1,-1,-1,,
13,48,31,6,17,8.5,37,46,1,4,4,4,3,4,6,-1,-1,-1,,
5,7,10,-1,-1,6.5,29,25,0,3,4,2,-2,4,6,-1,-1,-1,,
24,18,37,19,26,17.9,-1,-1,1,3,4,4,3,4,3,7,-1,-1,,
4,6,9,-1,-1,29.5,17,29,0,2,4,2,-2,2,-2,6,-1,-1,,
2,51,38,33,39,34.8,8,50,0,2,3,2,9,-2,6,-1,-1,-1,,
5,10,10,-1,-1,52.7,32,48,1,2,-2,4,2,3,6,-1,-1,-1,,
36,34,26,35,8,8.2,23,25,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,6.7,20,40,1,4,4,4,4,6,-1,-1,-1,-1,,
14,45,23,17,12,75.35,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1,,
4,6,8,-1,-1,26.75,44,36,1,3,4,2,2,6,-1,-1,-1,-1,,
50,47,6,37,41,62.75,44,43,0,2,4,3,3,6,-1,-1,-1,-1,,
4,6,8,-1,-1,27.3,24,48,1,3,4,2,2,6,-1,-1,-1,-1,,
3,12,16,28,33,8.15,47,18,1,4,2,9,6,-1,-1,-1,-1,-1,,
4,6,8,-1,-1,6.6,32,8,0,3,3,9,6,-1,-1,-1,-1,-1,,
50,30,1,38,4,65.6,34,43,0,2,4,3,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,35.75,26,15,1,3,4,2,4,6,-1,-1,-1,-1,,
46,31,16,6,12,33.35,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,54,10,19,1,3,4,3,4,4,6,-1,-1,-1,,
12,3,38,51,47,64.2,-1,-1,0,2,2,-2,3,3,7,-1,-1,-1,,
4,7,9,-1,-1,25.35,37,45,1,3,2,3,2,9,6,-1,-1,-1,,
4,49,3,20,8,30.35,31,24,0,2,2,-2,4,2,-2,6,-1,-1,,
4,7,9,-1,-1,56.8,21,23,1,3,4,3,4,4,3,6,-1,-1,,
